,location,company,title,salary,description,review,star,country
7,Sydney NSW,Ultimate Asset,Sales Account Director - Artificial Intelligence,"$100,000 - $140,000 a year","Our client was established in 2012 by a passionate team of computer scientists and engineers with expertise in AI, data analysis, distributed systems, and…",,,Australia
8,Sydney NSW,Avenir Consulting,FUND MANAGER Disruptive Technologies Research Analyst,,Developing tailored research and insights on emerging technologies via data analytics and modeling across industries and markets.,,,Australia
9,Sydney NSW,Hyre Pty Ltd,Machine Learning/Computer Vision Engineer *Flexible Working/WFH*,,"Work from home options (highly flexible).
Machine Learning/Computer Vision Engineer – Image Recognition Platform.
Passion for ML & Computer Vision.",,,Australia
10,Sydney NSW,Hudson,Recruitment Consultant - Sydney,"$60,000 - $80,000 a year","The modern recruiter is part marketer, part researcher and data scientist, part match maker, part salesperson and part talent advisor.",,,Australia
11,Sydney NSW,Hyre Pty Ltd,Senior .Net Contract! $800 per day! 6 months rolling!,$800 a day,"My client is looking for a Senior .
Net developer to join a team working on a landmark greenfield project.
Working with other developers and Data Scientists,…",,,Australia
12,Sydney NSW,Achilles Systems Australia Pty Ltd,Tech-lead and senior full-stack engineer in Sydney CBD #kotlin #react,"$120,000 - $150,000 a year","Our Sydney team is 100% tech, consisting of 12 passionate developers, product owners and data scientists and growing.
You don't know us?",,,Australia
14,,Queen B,"Small Business Marketing, Social and PR Manager",$30 - $40 an hour,"You'll have the mind of a scientist (a love of data, facts & figures), the heart of a bee (community minded and hard working!) and the connections of a great…",,,Australia
0,Sydney NSW,Freelancer.com,Senior Product Manager,"$100,000 - $140,000 a year","Product managers run a team of engineers, data scientists, growth hackers, graphic designers (and other roles).
5+ years in a product manager role.",,,Australia
1,Sydney NSW,Onset,Product Manager,,"They are a close knitted team of engineers, data scientists and business leaders who have built a unique AI product that can help businesses across a range of…",,,Australia
2,Sydney NSW,Uplift Recruitment,Research Analyst | Loan Writer | Credit Officer | Mortgage Broking Industry,,"Our client is a mortgage broker who are about the people.
They utilise their terrific relationships with multiple lenders to open doors for their customers and…",,,Australia
3,Macquarie Park NSW,Launch Recruitment,Senior Machine Learning Engineer,"$950 - $1,000 a day","Work closely with Data Analysts, Solution Designers, Application Architects to translate large data sets to high quality ML.",,,Australia
4,Sydney NSW,Euromonitor,Market Research Analyst (FMCG),,"As a Research analyst, you will have an opportunity to study and build expertise across all FMCG / Corporate industries that range from daily household…",,,Australia
5,Sydney NSW,Randstad,senior quantitative analyst - market risk,,"Senior Quantitative Analyst – Market Risk.
What's in it for you?
This is an exciting role for an analyst as it will give you the chance to work with multiple…",,,Australia
6,Macquarie Park NSW,Onset,Hadoop Platform Engineer/Administrator,,"There are very few platforms in Australia capable of handling this much private and public-sector data.
An important posting no doubt.. you'll know why once you…",,,Australia
7,Surry Hills NSW,Onset,Lead Machine Learning Engineer,,You are going to be an essential part of a Data Engineering team providing technical leadership to evolve the business’ data processes on massive data sets.,,,Australia
8,Sydney NSW,Hyre Pty Ltd,Architect / Developer - Leading Construction Company - up to $160K Package!,,"Develop a world first ERP system!
Dedicated RnD time each week!
My client is looking for an Architect / senior .
Engaging stakeholders and wider business units.",,,Australia
9,Sydney NSW,Talentpool Recruitment,Senior Systems Engineer (Level 3),,"You will be joining an exceptionally talented group of data scientists, engineers and sports analysts at the forefront of their field.",,,Australia
11,,Genius Sports Services,Sports Statistician,,Genius Sports Statisticians are responsible for attending football events in (country) and reporting all the action directly from the venue using our state-of…,,,Australia
12,,Macquarie Group,Senior Data Scientist,,"Mentoring junior data scientists including reviewing code and analysis approaches.
Sourcing and identifying relevant data sources, cleaning and preparing data.",,,Australia
